osm_type,osm_id,name,amenity,addr_city,addr_street,addr_housenumber,addr_postcode,website,phone,lat,lon
node,30999260,Ni pa ti ni pa mi,cafe,,,,,,,39.4710110,-0.3818602
node,30999262,Poquito a poco,cafe,,,,,,,39.4709045,-0.3814090
node,31023735,Cervecería Velluters,cafe,,,,,,,39.4711826,-0.3803981
node,31023736,Café Santos,cafe,,,,,,,39.4709675,-0.3808791
node,31023737,Black Bear,bar,,,,,,,39.4710138,-0.3806733
node,31023742,La Masía del Vino,restaurant,,,,,,,39.4708998,-0.3812193
node,31023743,Aladino,restaurant,,,,,,,39.4708920,-0.3830845
node,31023744,Bar Victoria,cafe,,,,,,,39.4723522,-0.3811460
node,91208412,Café-Bar Colón,cafe,,,,,,,39.1904787,-0.4370861
node,104667715,Foster's Hollywood,restaurant,,,,,,,39.4770984,-0.3632878
node,106914618,Casa Manolo,restaurant,,,,,,,39.4520975,-0.3739486
node,106914626,Casa Tere,restaurant,,,,,,,39.4508285,-0.3732921
node,106914644,Nuevo Siglo,restaurant,,,,,,,39.4510699,-0.3720946
node,107931095,Bar San Luís,restaurant,,,,,,,39.4482747,-0.3678884
node,109552702,El Famós,restaurant,València,Camí de L'esglesia de Vera,14,46022,https://www.elfamos.com/ni,+34 963 71 00 28,39.4849007,-0.3379912
node,115533027,Yashi Wok,restaurant,,,,,,,39.4955817,-0.4016255
node,164123074,Gilda,bar,,,,,,,39.4748253,-0.3822345
node,164123451,DJango,restaurant,,,,,,,39.4742601,-0.3812275
node,197384403,Bipolar,restaurant,,Plaza de las Escuelas Pías,3,46001,,,39.4737322,-0.3818644
node,197384418,Café Bar Almansa,cafe,,,,,,,39.4727638,-0.3836713
node,197384424,Café Clasic,cafe,,,,,,,39.4737971,-0.3836228
node,197384457,Restaurante Aldaba,restaurant,,,,,,,39.4746657,-0.3835167
node,197384458,Unsushi,restaurant,,Carrer de Murillo,31,,https://unsushi.es,+34960646663,39.4753554,-0.3830892
node,197384467,Canela Arroces,restaurant,València,Carrer de Quart,57,46001,,,39.4758321,-0.3830933
node,203671767,Bar Jesús,cafe,,,,,,,39.4743828,-0.3812150
node,203671779,Dhaba,restaurant,,Plaça de Joan de Vila-rasa,6,46001,https://giardinodelcarmen.es/,+34 963 11 34 12,39.4742592,-0.3808255
node,203671814,Café Coral,cafe,,,,,,,39.4733399,-0.3811324
node,203671818,Bar els Cremats,cafe,,,,,,,39.4730281,-0.3812564
node,221230692,La més cabuda,cafe,,,,,,,39.4718839,-0.3792638
node,245422340,Valencia Once,restaurant,,,,,https://valenciaonce.com/,,38.3525297,-0.4838708
node,245781056,casa Salvi,restaurant,,,,,,,38.3598232,-0.4683650
node,254668355,"Bar Recreativo ""El Casino""",cafe,,,,,,,38.8343303,-0.4971735
node,254668362,Bar El Parc,restaurant,,,,,,,38.8318852,-0.4969566
node,256979098,Torre Mauro,restaurant,,,,,,,38.3660534,-0.4308318
node,257880173,Salones Juan XXIII,restaurant,,,,,,,38.3699207,-0.4700606
node,270744472,restaurante astorga,restaurant,,,,,,,38.3468766,-0.4945050
node,273377631,Heladería Xambit,cafe,,,,,,,38.3912132,-0.5056221
node,278173189,El Flare,restaurant,,,,,,,38.2720239,-0.9415466
node,279986101,Restaurante Cabo la Nao,restaurant,Jaea - Xabia,,,03730,,+34 965 77 18 35,38.7333612,0.2302382
node,279986102,Restaurante El Mirador de Jávea,restaurant,,,,,,,38.7327795,0.2288637
node,280577593,Restaurante Baeza & Rufete,restaurant,Alicante,Avenida de Ansaldo,31,03540,,,38.3686514,-0.4334877
node,280577600,La Tagliatella,restaurant,,,,,,,38.3629134,-0.4304898
node,280577605,cervecería Max,restaurant,,,,,,,38.3687039,-0.4348772
node,280585298,Café el paseo,cafe,,,,,,,38.3670778,-0.4336258
node,280585313,L'arruz,restaurant,,,,,,,38.3654754,-0.4322083
node,280587275,Nácara,cafe,,,,,,,38.3665208,-0.4290554
node,281153580,Sketch,cafe,,,,,,,38.3672747,-0.4280989
node,281153583,Bombón,cafe,,,,,,,38.3673400,-0.4279590
node,281153588,Bayari,restaurant,,,,,,,38.3676002,-0.4272925
node,281153589,La Lonja de Andrino,restaurant,,,,,,,38.3676363,-0.4272065
node,282409012,Coll de Rates,restaurant,,,,,http://www.collderates.com,+34 96 644 5604,38.7239459,-0.0602475
node,286622156,Restaurante Nan-King,restaurant,,,,,,,38.3626861,-0.4314512
node,288186442,Cafetería Brisa,cafe,,,,,,,38.5078297,-0.2285531
node,289049097,Restaurante 222,restaurant,Torrevieja,Avenida Alfredo Nobel,2,03183,,+34 965 71 49 49,37.9847411,-0.6579684
node,300087118,Don Carlos,cafe,,,,,,,38.3681564,-0.4246348
node,300087128,All-in Sports Bar,cafe,,,,,,,38.3673011,-0.4249629
node,300087130,Bayari,restaurant,,,,,,,38.3672345,-0.4251845
node,300088165,Touch,restaurant,,,,,,,38.3667719,-0.4292934
node,300088166,Restaurante Tailandés Sabatika,restaurant,,,,,,,38.3663084,-0.4304591
node,300799736,La Gamba,restaurant,,,,,,,38.3644441,-0.4314241
node,306577139,Kebab San Vicente,restaurant,,,,,,,38.4021602,-0.5212910
node,307184994,La Bodega,restaurant,,,,,,,38.7406672,-0.4360248
node,307397735,El sol,cafe,,,,,,,38.3962198,-0.5253615
node,307407848,Pub 206,cafe,,,,,,,38.3955668,-0.5279989
node,309773339,El Cisne,restaurant,,,,,,,38.1898879,-0.5526113
node,310173190,m'Agrada,cafe,,,,,,,38.3918698,-0.5180530
node,314564925,Cervecería Al-Andalus,restaurant,,,,,,,38.3925186,-0.5222702
node,314570875,Club Social III,cafe,,,,,,,38.3826837,-0.5084788
node,314571642,Mad Pilots,cafe,,,,,,,38.3863531,-0.5093973
node,314571884,Chino,restaurant,,,,,,,38.3866689,-0.5094538
node,314573285,Cinco Sentidos Lounge Bar,bar,,,,,,,38.3906560,-0.5050911
node,314575723,Mila,cafe,,,,,,,38.3916730,-0.5240884
node,316565938,Las Cuevas,restaurant,,,,,,,39.4777599,-0.3757850
node,316744333,Bar Pekin,restaurant,,,,,,,39.4775749,-0.3555903
node,318861418,Pou de la Neu,restaurant,,,,,,,38.6095547,-0.4722362
node,319276779,Restaurante Dársena,restaurant,,,,,https://darsena.com/,+34 965 207 399,38.3383950,-0.4869017
node,334504496,La Ponderosa,restaurant,,,,,,,38.6987383,-0.3903979
node,347397246,Bar Teleclub,restaurant,,,,,,,40.3265190,-0.0810796
