venue_id,name,city,status,lat,lon,service,query_used,display,address_text,google_maps_url,hero_image_url,cover_photo_path
935f6edc-07db-4793-b251-8fa1df2b2a17,Fonda Canyella,Valencia (Campanar),SUSPECT,39.4781379,-0.3906043,photon,"Fonda Canyella, València (Campanar), Valencia, Comunitat Valenciana","Pont de les Glòries Valencianes, Carril Bici Grans Vies, Valencia",,,,
8ca265a9-ebe0-4431-ae39-fdc9984b2c2a,La Nova Terrassa,La Pobla de Vallbona,SUSPECT,39.5907339,-0.5532185,photon,"La Nova Terrassa, La Pobla de Vallbona, Valencia, Comunitat Valenciana",la Pobla de Vallbona,,,,
e74c386d-22e1-4032-95bc-5c51fa054246,Restaurant El Rall,Benissa,SUSPECT,38.6611757,0.0147044,photon,"Restaurant El Rall, Benissa, Alicante, Comunitat Valenciana","el Dit d'Oltà, , Benissa",,,,
1a38588c-86cc-40be-a071-c4b9fded8a88,Casa Baldo 1915,Valencia,SUSPECT,38.9623954,-0.5832175,photon,"Casa Baldo 1915, València, Valencia, Comunitat Valenciana",Canals,,,,
cafc4e10-c2a4-4c00-9bd0-6e65159c893c,Grupo Gastroadictos (grupo),Valencia,SUSPECT,39.5022807,-0.4377519,photon,"Grupo Gastroadictos (grupo), València, Valencia, Comunitat Valenciana","Grupos de la Merced, , Paterna",,,,
db6486e9-c639-4698-950e-442c5aebd5fb,La Entrada,Villena,SUSPECT,38.6360967,-0.8659745,photon,"La Entrada, Villena, Alicante, Comunitat Valenciana",Villena,,,,
caf1083d-af95-4340-ad06-063fbfd7bf04,La Mar de Flaca,Godella,SUSPECT,39.4218028,-0.6867262,photon,"La Mar de Flaca, Godella, Valencia, Comunitat Valenciana",Godelleta,,,,
17b30408-0b46-4be7-8ca3-483226301371,Nou Bar,Vinaròs,SUSPECT,40.4677974,0.4747879,nominatim,"Nou Bar, Vinaròs, Castellón, Comunitat Valenciana","Nou, Avenida del País Valenciano, Mujeres del Mar, Vinaroz, Bajo Maestrazgo, Castellón, Comunidad Valenciana, 12500, España",,,,
29167a8c-3c53-4f28-afa6-19e16106c9cf,Pío XII - Casa María,Almassora,SUSPECT,39.9474841,-0.0636819,photon,"Pío XII - Casa María, Almassora, Castellón, Comunitat Valenciana","Carrer de Jesús i Maria, , Almassora",,,,
c04fa72c-5b43-4807-9205-88e8c68d1e6e,San Rafael,Benicarló,SUSPECT,40.4180244,0.4229813,photon,"San Rafael, Benicarló, Castellón, Comunitat Valenciana",Benicarló,,,,
351b7b4c-aa49-4481-bfcb-20f2e8c0b8bd,Tabick,Llombai,SUSPECT,39.2816214,-0.5731796,photon,"Tabick, Llombai, Valencia, Comunitat Valenciana",Llombai,,,,
